objectid,dc_key,dispatch_date,hour,location_block,dc_dist,ucr_general,text_general_code,latitude,longitude
36297680,202508018481,NA,10,2800 BLOCK NORCROSS ST,08,100,Homicide - Criminal,NA,NA
36297681,202512026710,NA,3,200 BLOCK S CAMAC ST,12,100,Homicide - Criminal,39.94747962078,-75.161725532601
36297682,202509062283,NA,22,800 BLOCK LEMON HILL,09,100,Homicide - Criminal,NA,NA
36297683,202512106610,NA,15,2600 BLOCK MUHFIELD ST,12,100,Homicide - Criminal,NA,NA
36297684,202515028892,NA,3,4400 BLOCK FRANKFORD A,15,100,Homicide - Criminal,40.01259568692,-75.087597346995
36297685,202514067755,NA,1,200 BLOCK W RITTENHOUSE,14,100,Homicide - Criminal,NA,NA
36297686,202515000310,NA,10,1800 BLOCK WAKELNG ST,15,100,Homicide - Criminal,40.017971230814,-75.076143087811
36297687,202515054256,NA,4,4100 BLOCK FRANKFORD AV,15,100,Homicide - Criminal,40.007516928887,-75.090964158678
36297688,202514085742,NA,7,1500 BLOCK WADSWORTH ST,14,100,Homicide - Criminal,NA,NA
36297689,202524004024,NA,17,"3300 BLOCK ""H"" ST",24,100,Homicide - Criminal,39.998127744116,-75.112984431113
36297691,202524037744,NA,9,1500 BLOCK E LYCOMING ST,24,100,Homicide - Criminal,40.008597301754,-75.098368028019
36297692,202525034849,NA,16,2700 BLOCK N ORKNEYST,25,100,Homicide - Criminal,39.992101994431,-75.139759850442
36297693,202524087954,NA,7,300 BLOCK MARTHA ST,24,100,Homicide - Criminal,NA,NA
36297694,202535090617,NA,11,4900 BLOCK STENETON AV,35,100,Homicide - Criminal,NA,NA
36297696,202539001193,NA,7,3700 BLOCK W STERNER ST,39,100,Homicide - Criminal,NA,NA
36297697,202539008438,NA,10,KELLY MIDVALE AV,39,100,Homicide - Criminal,NA,NA
36297733,202525042144,NA,19,100 BLOCK W TUSCULUM ST,25,100,Homicide - Criminal,39.9960174563,-75.131468619103
36297868,202525022796,NA,2,3400 BLOCK GERMANTOWN AV,25,100,Homicide - Criminal,40.00430659017,-75.149360342212
36297946,202525031340,NA,4,100 BLOCK W CAMBRIA ST,25,100,Homicide - Criminal,39.993983892237,-75.1308657771
36297960,202219039266,NA,19,400 BLOCK N 57TH ST,19,100,Homicide - Criminal,39.967147967753,-75.233722736853
36297989,202524054518,NA,22,500 BLOCK E CLEARFIELD ST,24,100,Homicide - Criminal,39.995790872912,-75.121060476181
36298024,202435058088,NA,22,5200 BLOCK N 5TH ST,35,100,Homicide - Criminal,40.030383537135,-75.1318893168
36298157,202512017894,NA,21,5600 BLOCK GRAYS AV,12,100,Homicide - Criminal,39.932155037188,-75.219124070893
36298172,202508049200,NA,4,4500 BLOCK ENFIELD AV,08,100,Homicide - Criminal,40.040176882951,-75.020121683173
36298173,202508049200,NA,4,4500 BLOCK ENFIELD AV,08,100,Homicide - Criminal,40.040176882951,-75.020121683173
36298182,202519082074,NA,11,200 BLOCK N 62ND ST,19,100,Homicide - Criminal,39.965610504353,-75.244123815728
36298186,202503014598,NA,8,1000 BLOCK PACKER AV,03,100,Homicide - Criminal,39.910691636573,-75.165747514757
36298198,202508037939,NA,6,2700 BLOCK MANCHESTER ST,08,100,Homicide - Criminal,NA,NA
36298273,202512013719,NA,3,5200 BLOCK GREENWAY AVE,12,100,Homicide - Criminal,39.939273944634,-75.217505754242
36298285,202322035230,NA,4,2400 BLOCK N CORLIES ST,22,100,Homicide - Criminal,39.992827097019,-75.181829264724
36298287,202502054154,NA,16,1700 BLOCK TEESDALE ST,02,100,Homicide - Criminal,40.054690705373,-75.070540209297
36298322,202539069150,NA,10,2300 BLOCK HUNTING PARK AV,39,100,Homicide - Criminal,40.009619679212,-75.167313800398
36298348,202522099848,NA,17,1900 BLOCK W SUSQUEHANNA AV,22,100,Homicide - Criminal,39.987375711922,-75.165059221044
36298467,202525061790,NA,20,100 BLOCK E COURTLAND ST,25,100,Homicide - Criminal,40.019821905307,-75.124127589785
36298490,202522069626,NA,0,3100 BLOCK W MONTGOMERY AV,22,100,Homicide - Criminal,39.9836596062,-75.184878060956
36298542,202535037017,NA,18,1700 BLOCK LINDLEY AV,35,100,Homicide - Criminal,40.031207301584,-75.151443784361
36298596,202522046946,NA,21,1900 BLOCK MARGIE ST,22,100,Homicide - Criminal,39.993052202478,-75.16304477024
36298611,202502040705,NA,23,500 BLOCK ALCOTT ST,02,100,Homicide - Criminal,40.043548849373,-75.103235973636
36298979,202518049875,NA,23,5800 BLOCK MONTROSE ST,18,100,Homicide - Criminal,39.948352131293,-75.239633543803
36299027,202535066925,NA,1,6000 BLOCK WARNOCK ST,35,100,Homicide - Criminal,40.043704250251,-75.137481515265
36299076,202525031286,NA,20,3400 BLOCK N HOPE ST,25,100,Homicide - Criminal,40.001763621974,-75.129198150301
36299128,202524004250,NA,15,800 BLOCK E ALLEGHENY AV,24,100,Homicide - Criminal,39.996690852573,-75.115386013924
36299170,202525090202,NA,11,500 BLOCK W LEHIGH AV,25,100,Homicide - Criminal,39.992039453875,-75.140283873331
36299179,202514091102,NA,3,2500 BLOCK W CHELTENHAM AV,14,100,Homicide - Criminal,40.074153766346,-75.158522417905
36299184,202512058050,NA,3,2100 BLOCK CEMETERY AV,12,100,Homicide - Criminal,39.928395859507,-75.232918487648
36299185,202535066932,NA,3,1700 BLOCK W RUSCOMB ST,35,100,Homicide - Criminal,40.029695638451,-75.151768089938
36299191,202524072214,NA,20,3100 BLOCK JASPER ST,24,100,Homicide - Criminal,39.994450832749,-75.113735705308
36299237,202516016077,NA,13,4500 BLOCK LANCASTER AV,16,100,Homicide - Criminal,39.969702623028,-75.213040240536
36299253,202539092380,NA,17,500 BLOCK W QUEEN LN,39,100,Homicide - Criminal,40.023820376301,-75.176797679154
36299262,202518025942,NA,23,5900 BLOCK MARKET ST,18,100,Homicide - Criminal,39.961663327043,-75.238868748271
36299322,202509120824,NA,7,1500 BLOCK MARKET ST,09,100,Homicide - Criminal,39.952528780154,-75.165312187675
36299365,202535104050,NA,21,1300 BLOCK W ROCKLAND ST,35,100,Homicide - Criminal,40.027301445585,-75.145121413166
36299482,202519033773,NA,14,5400 BLOCK RACE ST,19,100,Homicide - Criminal,39.963579995275,-75.2286669385
36299563,202526013158,NA,21,2600 BLOCK N HOWARD ST,26,100,Homicide - Criminal,39.989496420174,-75.132353006727
36299628,202412039455,NA,10,6600 BLOCK ELMWOOD AV,12,100,Homicide - Criminal,39.921247003038,-75.231570127612
36299690,202516062430,NA,17,3800 BLOCK BROWN ST,16,100,Homicide - Criminal,39.967864898717004,-75.19831028231
36299696,202525017283,NA,9,2800 BLOCK N MUTTER ST,25,100,Homicide - Criminal,39.992853731308,-75.133072446835
36299703,202518034967,NA,1,6000 BLOCK MARKET ST,18,100,Homicide - Criminal,39.961914517042,-75.24084797051
36299825,202516013955,NA,13,4000 BLOCK W GIRARD AV,16,100,Homicide - Criminal,39.974048051788,-75.204376555375
36299830,202502055585,NA,17,5000 BLOCK SUMMERDALE AV,02,100,Homicide - Criminal,40.029625580112,-75.094351798947
36299898,202524102080,NA,16,800 BLOCK E MADISON ST,24,100,Homicide - Criminal,39.997527845345,-75.115210526224
36299901,202503050548,NA,18,1300 BLOCK PACKER AV,03,100,Homicide - Criminal,39.911354965256,-75.170438714105
36299928,202425045576,NA,7,400 BLOCK E WYOMING AV,25,100,Homicide - Criminal,40.020731116266,-75.118236721305
36299938,202519033902,NA,0,3800 BLOCK CONSHOHOCKEN,19,100,Homicide - Criminal,40.003089520787,-75.204823828132
36299956,202522091512,NA,0,2100 BLOCK N 32ND ST,22,100,Homicide - Criminal,39.988506631401,-75.185443612617
36300003,202519018709,NA,2,100 BLOCK N 53RD ST,19,100,Homicide - Criminal,39.961875504864,-75.226578317394
36300039,202512112943,NA,18,2900 BLOCK ISLAND AV,12,100,Homicide - Criminal,39.903834600793,-75.240579343833
36300042,202515116894,NA,12,4200 BLOCK TORRESDALE AV,15,100,Homicide - Criminal,40.007301065335,-75.086821889901
36300043,202509103191,NA,18,1200 BLOCK CHESTNUT ST,09,100,Homicide - Criminal,39.95035066654,-75.160294580164
36300065,202524052221,NA,1,400 BLOCK E CAMBRIA ST,24,100,Homicide - Criminal,39.993117873885,-75.124124977243
36300100,202515036548,NA,1,5000 BLOCK FRANKFORD AVE,15,100,Homicide - Criminal,40.020728815512,-75.08011010461
36300139,202522032072,NA,19,2500 BLOCK CHADWICK ST,22,100,Homicide - Criminal,NA,NA
36300140,202516028614,NA,1,4100 BLOCK LANCASTER AVE,16,100,Homicide - Criminal,39.965077428385,-75.205570352225
36300157,202509118825,NA,11,1300 BLOCK WALNUT ST,09,100,Homicide - Criminal,39.949035693269,-75.162197151373
36300169,202519046475,NA,17,300 BLOCK N 63RD ST,19,100,Homicide - Criminal,39.967270474542,-75.245875391005
