the_geom,cartodb_id,the_geom_webmercator,objectid,dc_dist,psa,dispatch_date_time,dispatch_date,dispatch_time,hour,dc_key,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng
NA,127508,NA,36297680,08,2,2025-05-05T04:00:00Z,2025-05-05,00:00:00,10,202508018481,2800 BLOCK NORCROSS ST,100,Homicide - Criminal,NA,NA,NA,NA
NA,127509,NA,36297681,12,2,2025-06-18T04:00:00Z,2025-06-18,00:00:00,3,202512026710,200 BLOCK S CAMAC ST,100,Homicide - Criminal,NA,NA,NA,NA
NA,127510,NA,36297682,09,1,2025-05-26T04:00:00Z,2025-05-26,00:00:00,22,202509062283,800 BLOCK LEMON HILL,100,Homicide - Criminal,NA,NA,NA,NA
NA,127511,NA,36297683,12,1,2025-12-05T05:00:00Z,2025-12-05,00:00:00,15,202512106610,2600 BLOCK MUHFIELD ST,100,Homicide - Criminal,NA,NA,NA,NA
NA,127512,NA,36297684,15,1,2025-04-05T04:00:00Z,2025-04-05,00:00:00,3,202515028892,4400 BLOCK FRANKFORD A,100,Homicide - Criminal,NA,NA,NA,NA
NA,127513,NA,36297685,14,3,2025-09-17T04:00:00Z,2025-09-17,00:00:00,1,202514067755,200 BLOCK W RITTENHOUSE,100,Homicide - Criminal,NA,NA,NA,NA
NA,127514,NA,36297686,15,1,2025-01-02T05:00:00Z,2025-01-02,00:00:00,10,202515000310,1800 BLOCK WAKELNG ST,100,Homicide - Criminal,NA,NA,NA,NA
NA,127515,NA,36297687,15,1,2025-06-13T04:00:00Z,2025-06-13,00:00:00,4,202515054256,4100 BLOCK FRANKFORD AV,100,Homicide - Criminal,NA,NA,NA,NA
NA,127516,NA,36297688,14,4,2025-10-28T04:00:00Z,2025-10-28,00:00:00,7,202514085742,1500 BLOCK WADSWORTH ST,100,Homicide - Criminal,NA,NA,NA,NA
NA,127517,NA,36297689,24,1,2025-01-14T05:00:00Z,2025-01-14,00:00:00,17,202524004024,"3300 BLOCK ""H"" ST",100,Homicide - Criminal,NA,NA,NA,NA
